name,abv,ibu,style,ounces,brewery_id,image
Gone A-Rye,0.085,90,American Double / Imperial IPA,16,29,
Special Release,,,,16,29,
Dankosaurus,0.068,70,American IPA,16,29,
Scruffy's Smoked Alt,0.051,35,Smoked Beer,16,29,
Elliott's Phoned Home Pale Ale,0.051,36,American Pale Ale (APA),16,29,
The Lawn Ranger,0.05,18,Cream Ale,16,29,
Cow Creek,0.054,26,American Amber / Red Lager,12,38,
Chupahopra,0.075,63,American IPA,12,38,
Twisted X,0.051,19,American Adjunct Lager,12,38,
Vanilla Porter,0.07,11,American Porter,16,39,
OktoberFiesta,0.053,27,,12,66,
Texicali ,0.065,33,American Brown Ale,12,66,
Pinata Protest,0.06,,Witbier,12,66,
Bat Outta Helles,0.042,20,Munich Helles Lager,12,66,
Original,0.068,,American Amber / Red Ale,12,66,
Rye Wit,0.042,10,Witbier,12,66,
Soul Doubt,0.059,70,American IPA,12,66,
Yo Soy Un Berliner,0.044,5,Berliner Weissbier,12,66,
Professor Black,,,American Stout,12,77,
Little Boss,,,American Pale Wheat Ale,12,77,
Van Dayum!,,,American Amber / Red Ale,12,77,
Spirit Animal,,,American Pale Ale (APA),12,77,
Pine Belt Pale Ale,0.065,45,American Pale Ale (APA),12,118,
Walloon,0.055,,Saison / Farmhouse Ale,12,118,
Le Mort Vivant,0.069,23,Bière de Garde,12,118,
Red Cockaded Ale,0.085,110,American Double / Imperial IPA,12,118,
Valkyrie Double IPA,0.092,100,American Double / Imperial IPA,12,118,
Red Cockaded Ale (2013),0.085,110,American Double / Imperial IPA,12,118,
Old Potentate,0.072,40,Old Ale,12,118,
Bombshell Blonde,0.05,20,American Blonde Ale,16,118,
PRO-AM (2012) (2012),0.099,100,American Double / Imperial IPA,12,118,
Walloon (2014),0.055,,Saison / Farmhouse Ale,12,118,
Le Mort Vivant (2011),0.069,23,Bière de Garde,12,118,
Buried Hatchet Stout,0.083,50,Foreign / Export Stout,12,118,
Pine Belt Pale Ale,0.065,45,American Pale Ale (APA),16,118,
Bombshell Blonde,0.05,20,American Blonde Ale,12,118,
Weisse Versa (2012),0.052,16,Hefeweizen,12,125,
Mother in Lager,0.058,25,Munich Dunkel Lager,12,125,
Weekend Warrior Pale Ale,0.055,40,American Pale Ale (APA),12,125,
Karbachtoberfest,0.055,25,Märzen / Oktoberfest,12,125,
Love Street Summer Seasonal (2014),0.047,20,Kölsch,12,125,
Barn Burner Saison,0.066,20,Saison / Farmhouse Ale,12,125,
Rodeo Clown Double IPA,0.095,85,American Double / Imperial IPA,12,125,
Sympathy for the Lager,0.049,45,American Amber / Red Lager,12,125,
Weisse Versa,0.052,15,Hefeweizen,12,125,
Hopadillo India Pale Ale,0.066,70,American IPA,12,125,
The Green Room,0.06,75,American IPA,16,126,
Humbucker Helles,0.047,25,Maibock / Helles Bock,16,126,
Neato Bandito,0.06,,Euro Pale Lager,12,127,
Oak Cliff Coffee Ale,0.075,33,American Brown Ale,12,127,
Dream Crusher Double IPA,0.085,100,American Double / Imperial IPA,12,127,
Deep Ellum Pale Ale,0.06,,American Pale Ale (APA),12,127,
Double Brown Stout,0.07,,Baltic Porter,12,127,
Farmhouse Wit,0.048,25,Saison / Farmhouse Ale,16,127,
Rye Pils Session Lager,0.046,,German Pilsener,12,127,
Dallas Blonde,0.052,23,American Blonde Ale,12,127,
Deep Ellum IPA,0.07,70,American IPA,12,127,
18th Anniversary Gose,0.044,5,Gose,12,128,
White (2015),0.046,25,Witbier,12,128,
BLAKKR,0.099,85,American Black Ale,12,128,
Firemans #4 Blonde Ale (2013),0.051,21,American Blonde Ale,12,128,
The Sword Iron Swan Ale,0.059,,English Pale Ale,12,128,
Hans' Pils (2015),0.053,52,German Pilsener,12,128,
Four Squared (2015),0.06,50,American Blonde Ale,12,128,
Firemans #4 Blonde Ale (2015),0.051,21,American Blonde Ale,12,128,
Porter Culture,0.065,,American Porter,12,136,
Oklahoma Suks,0.048,32,American Amber / Red Ale,12,140,
Power & Light,0.055,42,American Pale Ale (APA),12,140,
White Rabbit ,0.059,27,Witbier,12,140,
River House,0.05,20,Saison / Farmhouse Ale,16,161,
Pretzel Stout,0.065,47,American Stout,16,161,
Rubberneck Red,0.05,35,American Amber / Red Ale,16,161,
The Imperial Texan,0.08,,American Double / Imperial IPA,16,161,
The Imperial Texan,0.08,,American Double / Imperial IPA,12,161,
Day Break 4-Grain Breakfast Beer,0.05,,Rye Beer,16,161,
River House Saison,0.05,,Saison / Farmhouse Ale,12,161,
There Will Be Stout,0.065,,American Stout,12,161,
Rahr's Blonde,0.046,,Munich Helles Lager,12,176,
Pride of Texas Pale Ale,0.058,60,American Pale Ale (APA),12,176,
Lake Monster,0.082,25,Baltic Porter,16,184,
London Homesick Ale,0.049,27,English Bitter,12,184,
Luchesa Lager,0.048,35,Keller Bier / Zwickel Bier,12,184,
Slow Ride,0.048,35,American Pale Ale (APA),12,184,
Lobo Lito,0.04,12,Light Lager,12,187,
Robert Earl Keen Honey Pils,0.05,17,American Pilsner,12,187,
Evil Owl,0.052,40,American Amber / Red Ale,12,207,
Monarch Classic American Wheat,0.043,21,American Pale Wheat Ale,12,213,
Sir William's English Brown Ale,0.049,21,English Brown Ale,12,213,
Lakefire Rye Pale Ale,0.055,35,American Pale Ale (APA),12,213,
1836,0.06,40,American Blonde Ale,12,214,
Summer's Wit,0.06,20,Witbier,12,214,
More Cowbell,0.09,118,American Double / Imperial IPA,16,214,
First Stand,0.055,35,Saison / Farmhouse Ale,12,215,
Battle LIne,0.063,23,American Brown Ale,12,215,
Broken Bridge,0.056,12,Dunkelweizen,12,215,
Brutus,0.071,69,English India Pale Ale (IPA),12,215,
Skylight,0.056,20,Dunkelweizen,12,241,
Kadigan,0.056,30,American Blonde Ale,12,241,
Dammit Jim!,0.052,50,American Amber / Red Ale,12,241,
Infamous IPA,0.07,75,American IPA,12,242,
Hijack,0.055,20,Cream Ale,12,242,
LuckenBock,0.07,18,Bock,16,257,
Texas Pale Ale (TPA),0.055,40,American IPA,16,257,
6 String Saison,0.08,,Saison / Farmhouse Ale,16,257,
Kol' Beer,0.05,22,Kölsch,16,257,
El Chingon IPA,0.076,73,American IPA,12,287,
Block Party Robust Porter,0.057,40,American Porter,12,287,
Local Buzz,0.052,20,American Blonde Ale,12,287,
Green House India Pale Ale,0.07,,American IPA,12,395,
The One They Call Zoe,0.051,,American Pale Lager,12,395,
Alteration,0.051,40,Altbier,12,395,
Pale Dog,0.06,50,American Pale Ale (APA),12,395,
Heavy Machinery IPA Series #1: Heavy Fist,0.07,,American Black Ale,16,413,
Fire Eagle IPA,0.062,,American IPA,12,413,
Peacemaker,0.051,,American Pale Ale (APA),12,413,
Pearl-Snap,0.053,,German Pilsener,12,413,
Black Thunder,0.052,,Schwarzbier,12,413,
Quakertown Stout,0.092,50,American Double / Imperial Stout,12,426,
Greenbelt Farmhouse Ale,0.051,20,Saison / Farmhouse Ale,12,426,
La Frontera Premium IPA,0.078,,American IPA,12,463,
Tejas Lager,0.047,,Czech Pilsener,12,463,
Number 22 Porter,0.064,,American Porter,12,463,
Big Bend Hefeweizen,0.056,,Hefeweizen,12,463,
Terlingua Gold,0.06,,American Blonde Ale,12,463,
Pete's ESP Lager (1998),0.051,,American Pale Lager,12,470,
Pete's Wicked Summer Brew (1995),0.047,,American Pale Wheat Ale,12,470,
Pete's Wicked Bohemian Pilsner (1997),0.049,,Czech Pilsener,12,470,
Pete's Wicked Pale Ale (1997),,,American Pale Ale (APA),12,470,
Pete's Wicked Summer Brew (2002),0.047,,American Pale Wheat Ale,12,470,
Pete's Wicked Summer Brew (1997),0.047,,American Pale Wheat Ale,12,470,
Pete's Wicked Summer Brew (1996),0.047,,American Pale Wheat Ale,12,470,
